symbol,entrez,uniprot_accession
MAF,4094,O75444
MAGEA1,4100,P43355
MAGEA2,4101,P43356
MAGEA3,4102,P43357
MAGEA4,4103,P43358
MAGEA6,4105,P43360
MAGEA10,4109,P43363
MAGEA11,4110,P43364
MAGEA12,4111,P43365
MAGEB2,4113,O15479
MAL,4118,P21145
MAN1A1,4121,P33908
MAOA,4128,P21397
MAOB,4129,P27338
MAP1A,4130,P78559
MAP1B,4131,P46821
MAP2,4133,P11137
MAP6,4135,Q96JE9
MAPT,4137,P10636
MARK1,4139,Q9P0L2
MATK,4145,P42679
MATN2,4147,O00339
MATN3,4148,O15232
MB,4151,P02144
MBP,4155,P02686
MC1R,4157,Q01726
MCAM,4162,P43121
MCC,4163,P23508
MDFI,4188,Q99750
MDK,4192,P21741
ME1,4199,P48163
MEF2C,4208,Q06413
MEIS1,4211,O00470
MEIS2,4212,O14770
MEST,4232,Q5EB52
MET,4233,P08581
MFAP2,4237,P55001
MFAP4,4239,P55083
MFGE8,4240,Q08431
MELTF,4241,P08582
MFNG,4242,O00587
MGAT3,4248,Q09327
SCGB2A2,4250,Q13296
KITLG,4254,P21583
MGMT,4255,P16455
MGP,4256,P08493
MGST1,4257,P10620
MGST2,4258,Q99735
MGST3,4259,O14880
CIITA,4261,P33076
CD99,4267,P14209
MICB,4277,Q29980
MID1,4281,O15344
MITF,4286,O75030
MLF1,4291,P58340
MAP3K9,4293,P80192
MLLT3,4300,P42568
AFDN,4301,P55196
MME,4311,P08473
MMP1,4312,P03956
MMP2,4313,P08253
MMP3,4314,P08254
MMP7,4316,P09237
MMP8,4317,P22894
MMP10,4319,P09238
MMP11,4320,P24347
MMP13,4322,P45452
MMP14,4323,P50281
MMP15,4324,P51511
MMP16,4325,P51512
MMP17,4326,Q9ULZ9
MOCS1,4337,Q9NZB8
CD200,4345,P41217
MPO,4353,P05164
MPP1,4354,Q00013
MPP2,4355,Q14168
MPP3,4356,Q13368
MPZ,4359,P25189
MYO1B,4430,O43795
CITED1,4435,Q99966
MSI1,4440,O43347
MSN,4478,P26038
MST1R,4486,Q04912
MSX1,4487,P28360
MSX2,4488,P35548
MT1A,4489,P04731
MT1E,4493,P04732
MT1F,4494,P04733
MT1G,4495,P13640
MT1M,4499,Q8N339
MT1X,4501,P80297
MT2A,4502,P02795
MT3,4504,P25713
MTAP,4507,Q13126
MYO1F,4542,O00160
MUC1,4582,P15941
MUC3A,4584,Q02505
MUC4,4585,Q99102
MUC5AC,4586,P98088
MX1,4599,P20591
MX2,4600,P20592
MYB,4602,P10242
MYBL1,4603,P10243
MYC,4609,P01106
MYCL,4610,P12524
MYCN,4613,P04198
MYD88,4615,Q99836
GADD45B,4616,O75293
MYH10,4628,P35580
MYL4,4635,P12829
MYLK,4638,Q15746
MYO1A,4640,Q9UBC5
MYO1C,4641,O00159
MYO1D,4642,O94832
MYO1E,4643,Q12965
MYO5A,4644,Q9Y4I1
MYO5B,4645,Q9ULV0
MYO6,4646,Q9UM54
MYO7B,4648,Q6PIF6
MYO10,4651,Q9HD67
MYT1,4661,Q01538
NAP1L3,4675,Q99457
CEACAM6,4680,P40199
NBL1,4681,P41271
NCAM1,4684,P13591
NCAM2,4685,O15394
NCF2,4688,P19878
NCF4,4689,Q15080
NDN,4692,Q99608
NEDD4,4734,P46934
NEDD9,4739,Q14511
NEFM,4741,P07197
NEFH,4744,P12036
NELL1,4745,Q92832
NEFL,4747,P07196
NEK3,4752,P51956
NELL2,4753,Q99435
NEO1,4756,Q92859
NEU1,4758,Q99519
NEUROD1,4760,Q13562
NFATC1,4772,O95644
NFATC2,4773,Q13469
NFIA,4774,Q12857
NFATC4,4776,Q14934
NFE2,4778,Q16621
NFIB,4781,O00712
NFIC,4782,P08651
NFIX,4784,Q14938
NFKB2,4791,Q00653
NGF,4803,P01138
NGFR,4804,P08138
NHS,4810,Q6T4R5
NID1,4811,P14543
NINJ1,4814,Q92982
NINJ2,4815,Q9NZG7
NKG7,4818,Q16617
NKX3-1,4824,Q99801
NNAT,4826,Q16517
NMB,4828,P08949
NME3,4832,Q13232
NME4,4833,O00746
NQO2,4835,P16083
NNMT,4837,P40261
NOS3,4846,P29474
NOTCH1,4851,P46531
NPY,4852,P01303
NOTCH2,4853,Q04721
NOTCH3,4854,Q9UM47
CCN3,4856,P48745
NOVA1,4857,P51513
NPAS2,4862,Q99743
NPPB,4879,P16860
NPR2,4882,P20594
NPR3,4883,P17342
NPTX1,4884,Q15818
NPTX2,4885,P47972
NPY1R,4886,P25929
NRCAM,4897,Q92823
NRGN,4900,Q92686
NT5E,4907,P21589
NTF3,4908,P20783
NTF4,4909,P34130
ROR1,4919,Q01973
ROR2,4920,Q01974
DDR2,4921,Q16832
NTS,4922,P30990
NTSR1,4923,P30989
NUCB2,4925,P80303
NR4A2,4929,P43354
GPR143,4935,P51810
OAS1,4938,P00973
OAS2,4939,P29728
OAS3,4940,Q9Y6K5
OAT,4942,P04181
ODC1,4953,P11926
OLR1,4973,P78380
TNFRSF11B,4982,O00300
OPHN1,4983,O60890
SLC22A18,5002,Q96BI1
ORM1,5004,P02763
CLDN11,5010,O75508
OVOL1,5017,O14753
OXCT1,5019,P55809
OXTR,5021,P30559
P2RX1,5023,P51575
P2RX5,5026,Q93086
P2RX7,5027,Q99572
P2RY1,5028,P47900
P2RY2,5029,P41231
P2RY6,5031,Q15077
FURIN,5045,P09958
PCSK6,5046,P29122
SERPINE1,5054,P05121
SERPINB2,5055,P05120
PAK1,5058,Q13153
PALM,5064,O75781
PAM,5066,P19021
PAPPA,5069,Q13219
PAWR,5074,Q96IZ0
PAX3,5077,P23760
PAX5,5079,Q02548
PAX6,5080,P26367
PAX9,5083,P55771
PBX1,5087,P40424
PBX3,5090,P40426
PCBD1,5092,P61457
PCDH1,5097,Q08174
PCDH7,5099,O60245
PCDH9,5101,Q9HC56
SERPINA5,5104,P05154
PCK2,5106,Q16822
PCOLCE,5118,Q15113
PCP4,5121,P48539
PCSK1,5122,P29120
PCSK5,5125,Q92824
PCSK2,5126,P16519
CDK18,5129,Q07002
PDE1C,5137,Q14123
PDE2A,5138,O00408
PDE3A,5139,Q14432
PDE3B,5140,Q13370
PDE4A,5141,P27815
PDE4B,5142,Q07343
PDE4D,5144,Q08499
PDE7A,5150,Q13946
PDE9A,5152,O76083
PDE1B,5153,Q01064
PDGFA,5154,P04085
PDGFB,5155,P01127
PDGFRA,5156,P16234
PDGFRL,5157,Q15198
PDE6B,5158,P35913
PDGFRB,5159,P09619
PDK2,5164,Q15119
PDK4,5166,Q16654
ENPP1,5167,P22413
ENPP2,5168,Q13822
PDZK1,5174,Q5T2W1
PECAM1,5175,P16284
SERPINF1,5176,P36955
PEG3,5178,Q9GZU2
PENK,5179,P01210
ATP8B1,5205,O43520
PFKFB2,5208,O60825
PFKFB3,5209,Q16875
PFKFB4,5210,Q16877
PFKM,5213,P08237
PFKP,5214,Q01813
PFN2,5217,P35080
CDK14,5218,O94921
PGF,5228,P49763
PGM1,5236,P36871
ABCB1,5243,P08183
PHKA1,5255,P46020
SERPINA1,5265,P01009
PI3,5266,P19957
SERPINB5,5268,P36952
SERPINB6,5269,P35237
SERPINE2,5270,P07093
SERPINB8,5271,P50452
SERPINB9,5272,P50453
SERPINI1,5274,Q99574
SERPINB13,5275,Q9UIV8
PIGR,5284,P01833
PIK3C2B,5287,O00750
PIM1,5292,P11309
PIK3CD,5293,O00329
PIK3CG,5294,P48736
PITX1,5307,P78337
PITX2,5308,Q99697
PKD2,5311,Q13563
PKP1,5317,Q13835
PKP2,5318,Q99959
PLA2G2A,5320,P14555
PLA2G4A,5321,P47712
PLAGL1,5325,Q9UM63
PLAT,5327,P00750
PLAU,5328,P00749
PLAUR,5329,Q03405
PLCB2,5330,Q00722
PLCB4,5332,Q15147
PLCG2,5336,P16885
PLD1,5337,Q13393
PLEC,5339,Q15149
PLEK,5341,P08567
FXYD3,5349,Q14802
PLOD1,5351,Q02809
PLOD2,5352,O00469
PLP1,5354,P60201
PLP2,5355,Q04941
PLS1,5357,Q14651
PLS3,5358,P13797
PLSCR1,5359,O15162
PLTP,5360,P55058
PLXNA1,5361,Q9UIW2
PLXNA2,5362,O75051
PLXNB1,5364,O43157
PLXNB3,5365,Q9ULL4
PMAIP1,5366,Q13794
PNOC,5368,Q13519
PMP22,5376,Q01453
PRRX1,5396,P54821
SEPTIN5,5413,Q99719
SEPTIN4,5414,O43236
PODXL,5420,O00592
PON2,5445,Q15165
PON3,5446,Q15166
POU2AF1,5450,Q16633
POU2F2,5452,P09086
POU3F2,5454,P20265
POU3F3,5455,P20264
POU4F1,5457,Q01851
PPARG,5468,P37231
CTSA,5476,P10619
PPIC,5480,P45877
PPL,5493,O60437
PPP1R3C,5507,Q9UQK1
PPP2R2B,5521,Q00005
PPP2R2C,5522,Q9Y2T4
PPP2R3A,5523,Q06190
PRF1,5551,P14222
SRGN,5552,P10124
PRG2,5553,P13727
PRKAA2,5563,P54646
PRKACB,5567,P22694
PKIA,5569,P61925
PKIB,5570,Q9C010
PRKAR2B,5577,P31323
PRKCA,5578,P17252
PRKCB,5579,P05771
PRKCD,5580,Q05655
PRKCE,5581,Q02156
PRKCH,5583,P24723
PRKD1,5587,Q15139
PRKCQ,5588,Q04759
PRKCZ,5590,Q05513
MAPK11,5600,Q15759
MAPK10,5602,P53779
MAPK13,5603,O15264
MAP2K6,5608,P52564
PRKX,5613,P51817
PRLR,5618,P16471
PRODH,5625,O43272
PROS1,5627,P07225
PROX1,5629,Q92786
PRPH,5630,P41219
PRRG1,5638,O14668
PRRG2,5639,O14669
LGMN,5641,Q99538
PRSS1,5644,P07477
PRSS2,5645,P07478
PRSS3,5646,P35030
RELN,5649,P78509
KLK7,5650,P49862
PRSS8,5652,Q16651
KLK6,5653,Q92876
HTRA1,5654,Q92743
KLK10,5655,O43240
PRTN3,5657,P24158
PSEN2,5664,P49810
PSG1,5669,P11464
PSG4,5672,Q00888
PSG5,5673,Q15238
PSMB8,5696,P28062
PSMB9,5698,P28065
PTAFR,5724,P25105
PTCH1,5727,Q13635
PTGDS,5730,P41222
PTGER2,5732,P43116
PTGER4,5734,P35408
PTGFRN,5738,Q9P2B2
PTGIS,5740,Q16647
PTGS1,5742,P23219
PTGS2,5743,P35354
PTHLH,5744,P12272
PTK2,5747,Q05397
PTK6,5753,Q13882
PTK7,5754,Q13308
PTMS,5763,P20962
PTN,5764,P21246
QSOX1,5768,O00391
PTPN3,5774,P26045
PTPN6,5777,P29350
PTPN7,5778,P35236
PTPN13,5783,Q12923
PTPN14,5784,Q15678
PTPRC,5788,P08575
PTPRD,5789,P23468
PTPRCAP,5790,Q14761
PTPRE,5791,P23469
PTPRF,5792,P10586
PTPRG,5793,P23470
PTPRH,5794,Q9HD43
PTPRJ,5795,Q12913
PTPRK,5796,Q15262
PTPRM,5797,P28827
PTPRN,5798,Q16849
PTPRN2,5799,Q92932
PTPRO,5800,Q16827
PTPRR,5801,Q15256
PTPRS,5802,Q13332
PTPRZ1,5803,P23471
PTX3,5806,P26022
PVR,5817,P15151
NECTIN1,5818,Q15223
NECTIN2,5819,Q92692
PXN,5829,P49023
PYCR1,5831,P32322
PYGB,5834,P11216
PYGL,5836,P06737
RAB3A,5864,P20336
RAB3B,5865,P20337
RAB3IL1,5866,Q8TBN0
RAB4A,5867,P20338
RAB13,5872,P51153
RAB27A,5873,P51159
RAB27B,5874,O00194
RAC2,5880,P15153
RAC3,5881,P60763
MOK,5891,Q9UQ07
RAG1,5896,P15918
RAP1GAP,5909,P47736
RARB,5915,P10826
RARG,5916,P13631
RARRES1,5918,P49788
RARRES2,5919,Q99969
PLAAT4,5920,Q9UL19
RBMS1,5937,P29558
RBMS2,5939,Q15434
RBP1,5947,P09455
RBP4,5950,P02753
RCN1,5954,Q15293
RDX,5962,P35241
RELB,5971,Q01201
RENBP,5973,P51606
RET,5979,P07949
RGS1,5996,Q08116
RGS2,5997,P41220
RGS3,5998,P49796
RGS4,5999,P49798
RGS10,6001,O43665
RGS12,6002,O14924
RGS13,6003,O14921
RGS16,6004,O15492
RHAG,6005,Q02094
RNASE1,6035,P07998
RNASE2,6036,P10153
RNASE4,6038,P34096
ROBO1,6091,Q9Y6N7
ROBO2,6092,Q9HCK4
RORA,6095,P35398
RORC,6097,P51449
RPS4Y1,6192,P22090
RPS6KA1,6195,Q15418
RPS6KA2,6196,Q15349
RRAD,6236,P55042
RRAS,6237,P10301
RRBP1,6238,Q9P2E9
RTKN,6242,Q9BST9
RTN1,6252,Q16799
RTN2,6253,O75298
RXRA,6256,P19793
RXRG,6258,P48443
S100A1,6271,P23297
SORT1,6272,Q99523
S100A2,6273,P29034
S100A3,6274,P33764
S100A4,6275,P26447
S100A6,6277,P06703
S100A7,6278,P31151
S100A8,6279,P05109
S100A9,6280,P06702
S100A10,6281,P60903
S100A11,6282,P31949
S100A13,6284,Q99584
S100B,6285,P04271
S100P,6286,P25815
SAA1,6288,P0DJI8
SAA2,6289,P0DJI9
ACSM3,6296,Q53FZ2
SALL2,6297,Q9Y467
SALL1,6299,Q9NSC2
MAPK12,6300,P53778
SAT1,6303,P21673
SATB1,6304,Q01826
ATXN1,6310,P54253
SERPINB3,6317,P29508
SCD,6319,O00767
CLEC11A,6320,Q9Y240
SCML1,6322,Q9UN30
SCN1B,6324,Q07699
SCN3A,6328,Q9NY46
SCN8A,6334,Q9UQD0
SCN9A,6335,Q15858
SCNN1A,6337,P37088
SCNN1B,6338,P51168
CCL2,6347,P13500
CCL3,6348,P10147
CCL5,6352,P13501
CCL15,6359,Q16663
CCL20,6364,P78556
CXCL6,6372,P80162
CXCL5,6374,P42830
CX3CL1,6376,P78423
SDC1,6382,P18827
SDC2,6383,P34741
SDC4,6385,P31431
SDCBP,6386,O00560
CXCL12,6387,P48061
SECTM1,6398,Q8WVN6
SELL,6402,P14151
SELPLG,6404,Q14242
SEMA3F,6405,Q13275
SELENOP,6414,P49908
SELENOW,6415,P63302
SFRP1,6422,Q8N474
SFRP4,6424,Q6FHJ7
SGCB,6443,Q16585
SGCD,6444,Q92629
SGK1,6446,O00141
SCG5,6447,P05408
SGSH,6448,P51688
SH3BGRL,6451,O75368
SH3GL2,6456,Q99962
SHOX2,6474,O60902
ST6GAL1,6480,P15907
ST3GAL1,6482,Q11201
ST3GAL2,6483,Q16842
ST3GAL4,6484,Q11206
ST8SIA1,6489,Q92185
PMEL,6490,P40967
SIM2,6493,Q14190
SIX1,6495,Q15475
SLA,6503,Q13239
SLAMF1,6504,Q13291
SLC1A1,6505,P43005
SLC1A3,6507,P43003
SLC4A3,6508,P48751
SLC1A4,6509,P43007
SLC2A1,6513,P11166
SLC2A3,6515,P11169
SLC2A5,6518,P22732
SMTN,6525,P53814
SLC6A8,6535,P48029
SLC6A9,6536,P48067
SLC7A2,6542,P52569
SLC8A1,6546,P32418
SLC9A2,6549,Q9UBY0
SLC12A2,6558,P55011
SLC12A4,6560,Q9UP95
SLC14A1,6563,Q13336
SLC16A1,6566,P53985
SLC16A2,6567,P36021
SLCO2A1,6578,Q92959
SLCO1A2,6579,P46721
SLC22A3,6581,O75751
SLIT1,6585,O75093
SLIT3,6586,O75094
SLPI,6590,P03973
SNAI2,6591,O43623
SMARCA1,6594,P28370
SMARCA2,6595,P51531
HLTF,6596,Q14527
SMARCD3,6604,Q6STE5
SMN2,6607,Q16637
SMO,6608,Q99835
SMPD1,6609,P17405
SNAI1,6615,O95863
SNAP25,6616,P60880
SNAPC1,6617,Q16533
SNCA,6622,P37840
SNCG,6623,O76070
FSCN1,6624,Q16658
SNRPN,6638,P63162
SNTA1,6640,Q13424
SNTB1,6641,Q13884
SOD3,6649,P08294
SORL1,6653,Q92673
SOX2,6657,P48431
SOX4,6659,Q06945
SOX5,6660,P35711
SOX9,6662,P48436
SOX10,6663,P56693
SOX11,6664,P35716
SOX15,6665,O60248
SP100,6672,P23497
UAP1,6675,Q16222
SPAG4,6676,Q9NPE6
SPARC,6678,P09486
SPI1,6688,P17947
SPIB,6689,Q01892
SPINK1,6690,P00995
SPINK2,6691,P20155
SPINT1,6692,O43278
SPN,6693,P16150
SPOCK1,6695,Q08629
SPP1,6696,P10451
SPR,6697,P35270
SPRR1A,6698,P35321
SPRR1B,6699,P22528
SPRR2A,6700,P35326
SPRR2D,6703,P22532
SPRR3,6707,Q9UBC9
SPTB,6710,P11277
SPTBN1,6711,Q01082
SPTBN2,6712,O15020
SRC,6714,P12931
SREBF1,6720,P36956
SST,6750,P61278
SSX1,6756,Q16384
DENND2B,6764,P78524
ST14,6768,Q9Y5Y6
STAC,6769,Q99469
STAT1,6772,P42224
STAT5A,6776,P42229
STAT6,6778,P42226
STC1,6781,P52823
ELOVL4,6785,Q9GZR5
STX1A,6804,Q16623
STX3,6809,Q13277
STXBP1,6812,P61764
STXBP2,6813,Q15833
SULT1A1,6817,P50225
SULT1C2,6819,O00338
SULT2B1,6820,O00204
SVIL,6840,O95425
SYK,6850,P43405
SYN1,6853,P17600
SYP,6855,P08247
SYT1,6857,P21579
SYT4,6860,Q9H2B2
SYT5,6861,O00445
TACC1,6867,O75410
TAGLN,6876,Q01995
TAL1,6886,P17542
TAP1,6890,Q03518
TAP2,6891,Q03519
TBX1,6899,O43435
TBX2,6909,Q13207
TBXAS1,6916,P24557
TCEA2,6919,Q15560
TCEA3,6920,O75764
TCF4,6925,P15884
TBX3,6926,O15119
HNF1A,6927,P20823
HNF1B,6928,P35680
TCF7,6932,P36402
TCF7L2,6934,Q9NQB0
ZEB1,6935,P37275
TCN1,6947,P20061
TCN2,6948,P20062
DYNLT3,6990,P51808
TDO2,6999,P48775
PRDX2,7001,P32119
TEAD1,7003,P28347
TEAD4,7004,Q15561
TEAD3,7005,Q99594
TEC,7006,P42680
TERT,7015,O14746
TF,7018,P02787
TFAP2A,7020,P05549
TFAP2B,7021,Q92481
TFAP2C,7022,Q92754
NR2F1,7025,P10589
NR2F2,7026,P24468
TFF1,7031,P04155
TFF2,7032,Q03403
TFF3,7033,Q07654
TFPI,7035,P10646
TFR2,7036,Q9UP52
TGFA,7039,P01135
TGFB1,7040,P01137
TGFB1I1,7041,O43294
TGFB2,7042,P61812
TGFB3,7043,P10600
TGFBI,7045,Q15582
TGFBR2,7048,P37173
TGFBR3,7049,Q03167
TGIF1,7050,Q15583
TGM2,7052,P21980
THBD,7056,P07204
THBS1,7057,P07996
THBS2,7058,P35442
THBS3,7059,P49746
THRB,7068,P10828
THY1,7070,P04216
TIAM1,7074,Q13009
TIE1,7075,P35590
TIMP1,7076,P01033
TIMP2,7077,P16035
TIMP3,7078,P35625
TIMP4,7079,Q99727
NKX2-1,7080,P43699
TJP1,7082,Q07157
ICAM5,7087,Q9UMF0
TLE1,7088,Q04724
TLE2,7089,Q04725
TLE3,7090,Q04726
TLE4,7091,Q04727
TLR2,7097,O60603
TLR3,7098,O15455
TLR4,7099,O00206
TSPAN7,7102,P41732
TSPAN8,7103,P19075
TM4SF4,7104,P48230
TSPAN6,7105,O43657
TSPAN4,7106,O14817
GPR137B,7107,O60478
TM7SF2,7108,O76062
TMPRSS2,7113,O15393
TMSB4X,7114,P62328
TNF,7124,P01375
TNFAIP2,7127,Q03169
TNFAIP3,7128,P21580
TNFAIP6,7130,P98066
TNFRSF1A,7132,P19438
TNFRSF1B,7133,P20333
TNNC1,7134,P63316
TNNI2,7136,P48788
TNNI3,7137,P19429
TNNT1,7138,P13805
TNNT2,7139,P45379
TNS1,7145,Q9HBL0
TP53,7157,P04637
TP73,7161,O15350
TPBG,7162,Q13641
TPD52,7163,P55327
TPD52L1,7164,Q16890
TPM1,7168,P09493
TPM2,7169,P07951
TPM4,7171,P67936
TRAF1,7185,Q13077
TRAF5,7188,O00463
TRIO,7204,O75962
TRIP6,7205,Q15654
TRO,7216,Q12816
TRPC1,7220,P48995
TRPM2,7226,O94759
TRPS1,7227,Q9UHF7
PHLDA2,7262,Q53GA4
TST,7263,Q16762
TUB,7275,P50607
TUBA4A,7277,P68366
TUBA3C,7278,P0DPH7
TUBB2A,7280,Q13885
TUFT1,7286,Q9NNX1
TWIST1,7291,Q15672
TXNRD1,7296,Q16881
TYR,7299,P14679
TYRO3,7301,Q06418
TYROBP,7305,O43914
TYRP1,7306,P17643
UBB,7314,P0CG47
UBA7,7318,P41226
UBE2E2,7325,Q96LR5
UCHL1,7345,P09936
UPK1B,7348,O75841
UCP2,7351,P55851
SCGB1A1,7356,P11684
UGCG,7357,Q16739
UGDH,7358,O60701
UGT2B7,7364,P16662
UGT8,7368,Q16880
COL14A1,7373,Q05707
UPP1,7378,Q16831
UPK2,7379,O00526
UQCRH,7388,P07919
UTRN,7402,P46939
UTY,7404,O14607
VAV1,7409,P15498
VAV2,7410,P52735
VCAM1,7412,P19320
VCL,7414,P18206
VDR,7421,P11473
VEGFA,7422,P15692
VEGFC,7424,P49767
VGF,7425,O15240
VIL1,7429,P09327
EZR,7430,P15311
VIM,7431,P08670
VIPR1,7433,P32241
VLDLR,7436,P98155
BEST1,7439,O76090
VPREB1,7441,P12018
VSNL1,7447,P62760
VTN,7448,P04004
WAS,7454,P42768
WIPF1,7456,O43516
CLIP2,7461,Q9UDT6
LAT2,7462,Q9GZY6
CORO2A,7464,Q92828
WFS1,7466,O76024
WNT5A,7474,P41221
WNT7A,7476,O00755
WNT7B,7477,P56706
WNT11,7481,O96014
WNT9A,7483,O14904
WT1,7490,P19544
XBP1,7494,P17861
XK,7504,P51811
YES1,7525,P07947
ZAP70,7535,P43403
ZFP36,7538,P26651
ZFY,7544,P08048
ZIC1,7545,Q15915
ZIC2,7546,O95409
ZNF711,7552,Q9Y462
ZNF22,7570,P17026
ZNF32,7580,P17041
ZNF43,7594,P17038
ZNF69,7620,Q9UC07
ZNF85,7639,Q03923
ZNF90,7643,Q03938
ZNF91,7644,Q05481
MKRN3,7681,Q13064
ZNF134,7693,P52741
PCGF2,7703,P35227
ZNF185,7739,O15231
ZNF215,7762,Q9UL58
ZNF229,7772,Q9UJW7
ZP3,7784,P21754
ZYX,7791,Q15942
DNALI1,7802,O14645
LAPTM5,7805,Q13571
BTG2,7832,P78543
PXDN,7837,Q92626
TUBA1A,7846,Q71U36
PAX8,7849,Q06710
IL1R2,7850,P27930
MALL,7851,Q13021
CXCR4,7852,P61073
SCG2,7857,P13521
SEMA3B,7869,Q13214
ST8SIA4,7903,Q92187
ALDH5A1,7915,P51649
HSD17B8,7923,Q92506
LST1,7940,O00453
TFEB,7942,P19484
TFPI2,7980,P48307
ARHGEF5,7984,Q12774
TUSC3,7991,Q13454
PSCA,8000,O43653
ADAM12,8038,O43184
RASSF7,8045,Q02833
FOSL1,8061,P15407
MFAP5,8076,Q13361
SSPN,8082,Q14714
HMGA2,8091,P52926
ALX1,8092,Q15699
CDK2AP1,8099,O14519
TCL1A,8115,P56279
AP3B2,8120,Q13367
ST8SIA2,8128,Q92186
SLC7A5,8140,Q01650
ZNF239,8187,Q16600
MIA,8190,Q16674
NRIP1,8204,P48552
GATD3,8209,P0DPI2
DGCR6,8214,Q14129
PNPLA4,8228,P41247
F8A1,8263,P23610
KDM5D,8284,Q9BY66
USP9Y,8287,O00507
DYSF,8291,O75923
ACOX2,8309,Q99424
AXIN2,8313,Q9Y2T1
FZD1,8321,Q9UP38
FZD4,8322,Q9ULV1
FZD6,8323,O60353
FZD7,8324,O75084
FZD8,8325,Q9H461
H2AC6,8334,Q93077
H2BC8,8339,P62807
H2BC4,8347,P62807
H2BC21,8349,Q16778
H4C12,8362,P62805
H4C11,8363,P62805
H4C8,8365,P62805
H4C14,8370,P62805
PIP5K1B,8395,O14986
PLA2G6,8398,O60733
SRPX,8406,P78539
TAGLN2,8407,P37802
BCAR3,8412,O75815
ANXA9,8416,O76027
LTBP4,8425,Q8N2S1
NR0B2,8431,Q15466
RECK,8434,O95980
CAVIN2,8436,O95810
RASAL1,8437,O95294
DYRK3,8444,O43781
DOC2A,8448,Q14183
TPST1,8460,O60507
KLF11,8462,O14901
TEAD2,8463,Q15562
SORBS2,8470,O94875
CDC42BPA,8476,Q5VT25
SEMA7A,8482,O75326
RGS5,8490,O15539
PRSS12,8492,P56730
PPFIBP2,8495,Q8ND30
PPFIBP1,8496,Q86W92
PPFIA4,8497,O75335
SLC43A1,8501,O75387
PIK3R3,8503,Q92569
CNTNAP1,8506,P78357
ENC1,8507,O14682
KCNAB2,8514,Q13303
IFITM1,8519,P13164
GAS7,8522,O60861
DGKE,8526,P52429
CST7,8530,O76096
YBX3,8531,P16989
CPZ,8532,Q66K79
CAMK1,8536,Q14012
BCAS1,8537,O75363
BARX2,8538,Q9UMQ3
PPFIA3,8541,O75145
APOL1,8542,O14791
LMO4,8543,P61968
PIR,8544,O00625
LGR5,8549,O75473
BHLHE40,8553,O14503
CDC14B,8555,O60729
KMO,8564,O15229
PDLIM4,8572,P50479
CASK,8573,O14936
TMEFF1,8577,Q8IYR6
LY6D,8581,Q14210
RGS20,8601,O76081
KLF7,8609,O75840
PLPP1,8611,O14494
PLPP2,8612,O43688
PLPP3,8613,O14495
STC2,8614,O76061
CADPS,8618,Q9ULU8
TP63,8626,Q9H3D4
SKAP1,8631,Q86WV1
RNASET2,8635,O00584
EIF4EBP3,8637,O60516
OASL,8638,Q15646
DCHS1,8642,Q96JQ0
AKR1C3,8644,P42330
KCNK5,8645,O95279
CHRD,8646,Q9H2X0
SOCS1,8651,O15524
DDX3Y,8653,O15523
PDE5A,8654,O76074
IRS2,8660,Q9Y4H2
SLC4A4,8671,Q9Y6R1
VAMP8,8673,Q9BV40
PEA15,8682,Q15121
S1PR4,8698,O95977
B3GALNT1,8706,O75752
SERPINB7,8710,O75635
TNK1,8711,Q13470
ABCC3,8714,O15438
NOL4,8715,O94818
TNFRSF25,8718,Q93038
CTSF,8722,Q9UBX1
ADAM19,8728,Q9H013
TNFSF13,8741,O75888
TNFSF12,8742,O43508
TNFSF10,8743,P50591
TNFSF9,8744,P41273
ADAM23,8745,O75077
ADAM15,8751,Q13444
ADAM9,8754,Q13443
TNFRSF14,8764,Q92956
TNFRSF6B,8771,O95407
MPDZ,8777,O75970
TNFRSF18,8784,Q9Y5U5
RGS9,8787,O75916
DLK1,8788,P80370
TNFRSF11A,8792,Q9Y6Q6
TNFRSF10D,8793,Q9UBN6
TNFRSF10B,8795,O14763
SCEL,8796,O95171
TNFRSF10A,8797,O00220
CREG1,8804,O75629
FGF18,8817,O76093
INPP4B,8821,O15327
LIN7A,8825,O14910
NRP2,8828,O60462
NRP1,8829,O14786
CD84,8832,Q9UIB8
SOCS2,8835,O14508
GGH,8836,Q92820
CFLAR,8837,O15519
CCN5,8839,O76076
PROM1,8842,O43490
KSR1,8844,Q8IVT5
TSC22D1,8848,Q15714
KAT2B,8850,Q92831
ASAP2,8853,O43150
ALDH1A2,8854,O94788
APLN,8862,Q9ULZ1
PER3,8863,P56645
ST3GAL5,8869,Q9UNP4
IER3,8870,P46695
SYNJ2,8871,O15056
VNN2,8875,O95498
SPHK1,8877,Q9NYA1
SQSTM1,8878,Q13501
CCNA1,8900,P78396
AP1S2,8905,P56377
AP1G2,8906,O75843
GYG2,8908,O15488
SGCE,8910,O43556
CACNA1H,8912,O95180
SNURF,8926,Q9Y675
RTL8C,8933,A6ZKI3
SKAP2,8935,O75563
WASF1,8936,Q92558
BAIAP3,8938,O94812
CDK5R2,8941,Q13319
KYNU,8942,Q16719
H2BC11,8970,P06899
P4HA2,8974,O15460
PLOD3,8985,O60568
STBD1,8987,O95210
TRPA1,8989,O75762
SELENBP1,8991,Q13228
NOL3,8996,O60936
KALRN,8997,O60229
SOCS3,9021,O14543
CLIC3,9022,O95833
BRSK2,9024,Q8IWQ3
HIP1R,9026,O75146
TM4SF5,9032,O14894
